region	iso_3166_2	n	q_east_asian	q_south_asian	q_amr_like	q_african	q_european_west_eurasian
Tashkent	UZ-TK	459	0.272011	0.189478	0.027355	0.001834	0.509321
Tashkent Region	UZ-TO	159	0.316884	0.185007	0.030218	0.001637	0.466254
Jizzakh Region	UZ-JI	84	0.355023	0.182182	0.03676	0.00152	0.424516
Kashkadarya Region	UZ-QA	57	0.27741	0.222428	0.027631	0.002724	0.469807
Samarkand Region	UZ-SA	50	0.267829	0.219674	0.02994	0.003275	0.479282
Khorezm Region	UZ-XO	43	0.227906	0.215944	0.024087	0.004351	0.527712
Bukhara Region	UZ-BU	30	0.182032	0.268406	0.019281	0.005344	0.524937
Syrdarya Region	UZ-SI	30	0.305501	0.184469	0.031325	0.001537	0.477168
Fergana Region	UZ-FA	28	0.289299	0.202129	0.029511	0.001714	0.477348
Republic of Karakalpakstan	UZ-QR	20	0.340763	0.150948	0.041401	0.002727	0.464162
Surxondaryo Region	UZ-SU	20	0.307052	0.220402	0.02966	0.001742	0.441145
Namangan Region	UZ-NG	18	0.273584	0.200687	0.028663	0.002078	0.494988
Navoiy Region	UZ-NW	13	0.322291	0.20705	0.026743	0.004233	0.439683
Andijan Region	UZ-AN	10	0.291082	0.19149	0.031926	0.002055	0.483447
