FID	IID	Barcode	Position	Reason
01-18	01-18	207591070023	R05C01	KEEP_UNVERIFIED
01-29	01-29	207591070029	R02C01	KEEP_UNVERIFIED
01-53	01-53	207591070055	R02C01	REMOVE_partner
02-104	02-104	207591070029	R06C01	KEEP_UNVERIFIED
02-29	02-29	207591070029	R08C01	REMOVE_partner
02-36	02-36	207591070056	R02C02	KEEP_UNVERIFIED
02-39	02-39	207591070080	R02C01	REMOVE_partner
02-45d	02-45d	207591070029	R11C01	REMOVE_partner
02-45t	02-45t	207591070029	R11C01	REMOVE_partner
02-49d	02-49d	207591070053	R06C02	REMOVE_partner
02-52	02-52	207591070055	R05C01	KEEP_UNVERIFIED
02-52d	02-52d	207591070055	R05C01	REMOVE_partner
02-59	02-59	207585740001	R02C02	KEEP_UNVERIFIED
02-90	02-90	207591070028	R07C01	KEEP_UNVERIFIED
03-37	03-37	207591070053	R01C01	KEEP_UNVERIFIED
04-14	04-14	207591070030	R02C01	KEEP_UNVERIFIED
04-20d	04-20d	207591070055	R09C01	REMOVE_partner
04-22	04-22	207591070055	R06C01	KEEP_UNVERIFIED
04-22d	04-22d	207591070055	R06C01	REMOVE_partner
04-25	04-25	207591070030	R10C01	KEEP_UNVERIFIED
04-36	04-36	207591070055	R08C01	REMOVE_partner
04-40	04-40	207591070083	R09C01	REMOVE_partner
04-45	04-45	207591070030	R07C02	KEEP_UNVERIFIED
04-50	04-50	207591070030	R10C02	KING_new
04-54d	04-54d	207591070053	R03C02	REMOVE_partner
04-55d	04-55d	207591070053	R05C02	REMOVE_partner
06-04	06-04	207591070088	R02C01	KEEP_UNVERIFIED
06-06d	06-06d	207591070028	R10C02	REMOVE_partner
06-23d	06-23d	207591070053	R02C01	REMOVE_partner
06-30	06-30	207591070088	R02C02	KEEP_UNVERIFIED
06-41d	06-41d	207591070055	R12C01	REMOVE_partner
07-02d	07-02d	207591070028	R11C02	REMOVE_partner
07-04	07-04	207591070053	R10C01	KEEP_UNVERIFIED
07-04d	07-04d	207591070053	R10C01	REMOVE_partner; KING_new
07-10	07-10	207591070053	R02C02	KEEP_UNVERIFIED
07-15	07-15	207591070028	R03C01	REMOVE_partner
07-16	07-16	207591070028	R05C01	REMOVE_partner
07-17	07-17	207591070028	R08C01	REMOVE_partner
07-19	07-19	207591070053	R06C01	REMOVE_partner
08-123	08-123	207591070080	R10C02	KING_new
08-124	08-124	207591070053	R11C01	KEEP_UNVERIFIED
08-128	08-128	207591070053	R07C01	REMOVE_partner
08-160	08-160	207591070028	R04C01	KEEP_UNVERIFIED
08-179	08-179	207591070028	R09C01	REMOVE_partner
08-181	08-181	207591080031	R05C02	KEEP_UNVERIFIED
08-194	08-194	207591070028	R09C02	REMOVE_partner
08-265	08-265	207591080051	R02C02	KEEP_UNVERIFIED
08-267	08-267	207591080051	R03C02	REMOVE_partner
08-436	08-436	207591070028	R06C01	KEEP_UNVERIFIED
08-45	08-45	207591070065	R10C01	REMOVE_partner
08-493	08-493	207591070093	R07C01	REMOVE_partner
08-498	08-498	207591070053	R05C01	KEEP_UNVERIFIED
08-509	08-509	207585740042	R05C02	KEEP_UNVERIFIED
08-541	08-541	207585740042	R04C02	KEEP_UNVERIFIED
08-742	08-742	208993030109	R07C02	REMOVE_partner
08-744	08-744	207591070093	R02C02	KEEP_UNVERIFIED
08-749	08-749	208993030109	R09C02	REMOVE_partner; KING_new
08-754	08-754	208993030109	R10C02	REMOVE_partner; KING_new
08-774	08-774	207591070093	R04C02	KEEP_UNVERIFIED
08-795d	08-795d	207591070053	R08C01	REMOVE_partner
08-799	08-799	207585740042	R09C01	KEEP_UNVERIFIED
08-817	08-817	207591070053	R01C02	KEEP_UNVERIFIED
08-81d	08-81d	207591070055	R06C02	REMOVE_partner
09-101	09-101	207591080037	R11C02	KEEP_UNVERIFIED
09-37	09-37	207591070098	R09C02	REMOVE_partner
09-76	09-76	207591070023	R06C01	REMOVE_partner
12-04	12-04	207591080099	R09C02	REMOVE_partner
12-05	12-05	207591080099	R10C02	KEEP_UNVERIFIED
20-08	20-08	207591080086	R12C02	KING_new
