Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
1 01-01 12 02-81 0.0006 0.2343 0.7651 0.8823
1 01-01 271 08-128 0.6350 0.3650 0.0000 0.1825
1 01-01 273 06-34d 0.6733 0.3267 0.0000 0.1634
1 01-01 274 07-04d 0.3368 0.6632 0.0000 0.3316
1 01-01 453 08-123 0.3140 0.6860 0.0000 0.3430
1 01-01 499 08-701 0.4985 0.5015 0.0000 0.2508
1 01-01 550 20-05 0.3024 0.6976 0.0000 0.3488
1 01-01 840 08-25 0.3115 0.6885 0.0000 0.3443
1 01-01 862 08-495 0.4126 0.5874 0.0000 0.2937
1 01-01 898 08-825 0.6158 0.3842 0.0000 0.1921
1 01-01 1094 08-86 0.4199 0.5801 0.0000 0.2900
2 01-02 274 07-04d 0.3641 0.6359 0.0000 0.3180
2 01-02 453 08-123 0.3214 0.6786 0.0000 0.3393
2 01-02 499 08-701 0.6086 0.3914 0.0000 0.1957
2 01-02 550 20-05 0.3200 0.6800 0.0000 0.3400
2 01-02 840 08-25 0.3731 0.6269 0.0000 0.3134
2 01-02 862 08-495 0.5025 0.4975 0.0000 0.2487
2 01-02 1094 08-86 0.4568 0.5432 0.0000 0.2716
3 01-03 274 07-04d 0.3531 0.6469 0.0000 0.3234
3 01-03 453 08-123 0.3240 0.6760 0.0000 0.3380
3 01-03 499 08-701 0.5883 0.4117 0.0000 0.2058
3 01-03 550 20-05 0.2956 0.7044 0.0000 0.3522
3 01-03 840 08-25 0.3293 0.6707 0.0000 0.3354
3 01-03 862 08-495 0.4622 0.5378 0.0000 0.2689
3 01-03 1094 08-86 0.4586 0.5414 0.0000 0.2707
4 01-07 274 07-04d 0.3383 0.6617 0.0000 0.3309
4 01-07 453 08-123 0.3197 0.6803 0.0000 0.3402
4 01-07 499 08-701 0.5916 0.4084 0.0000 0.2042
4 01-07 550 20-05 0.3203 0.6797 0.0000 0.3399
4 01-07 840 08-25 0.3516 0.6484 0.0000 0.3242
4 01-07 862 08-495 0.4509 0.5491 0.0000 0.2746
4 01-07 1094 08-86 0.4753 0.5247 0.0000 0.2623
5 01-12 274 07-04d 0.3432 0.6568 0.0000 0.3284
5 01-12 453 08-123 0.3096 0.6904 0.0000 0.3452
5 01-12 499 08-701 0.6122 0.3878 0.0000 0.1939
5 01-12 550 20-05 0.2916 0.7084 0.0000 0.3542
5 01-12 840 08-25 0.3461 0.6539 0.0000 0.3270
5 01-12 862 08-495 0.4856 0.5144 0.0000 0.2572
5 01-12 1094 08-86 0.4600 0.5400 0.0000 0.2700
6 01-15 271 08-128 0.6966 0.3034 0.0000 0.1517
6 01-15 274 07-04d 0.3859 0.6141 0.0000 0.3071
6 01-15 453 08-123 0.3363 0.6637 0.0000 0.3319
6 01-15 499 08-701 0.6021 0.3979 0.0000 0.1990
6 01-15 550 20-05 0.3374 0.6626 0.0000 0.3313
6 01-15 840 08-25 0.3634 0.6366 0.0000 0.3183
6 01-15 862 08-495 0.5025 0.4975 0.0000 0.2488
6 01-15 1094 08-86 0.4527 0.5473 0.0000 0.2736
7 01-19 271 08-128 0.6897 0.3103 0.0000 0.1551
7 01-19 274 07-04d 0.3509 0.6491 0.0000 0.3245
7 01-19 453 08-123 0.3347 0.6653 0.0000 0.3327
7 01-19 499 08-701 0.5750 0.4250 0.0000 0.2125
7 01-19 550 20-05 0.3203 0.6797 0.0000 0.3399
7 01-19 840 08-25 0.3465 0.6535 0.0000 0.3267
7 01-19 862 08-495 0.4891 0.5109 0.0000 0.2554
7 01-19 1094 08-86 0.4517 0.5483 0.0000 0.2742
8 01-24 271 08-128 0.6975 0.3025 0.0000 0.1512
8 01-24 274 07-04d 0.3416 0.6584 0.0000 0.3292
8 01-24 453 08-123 0.2993 0.7007 0.0000 0.3504
8 01-24 499 08-701 0.5858 0.4142 0.0000 0.2071
8 01-24 550 20-05 0.3047 0.6953 0.0000 0.3477
8 01-24 840 08-25 0.3320 0.6680 0.0000 0.3340
8 01-24 862 08-495 0.4892 0.5108 0.0000 0.2554
8 01-24 1094 08-86 0.4290 0.5710 0.0000 0.2855
9 01-25 274 07-04d 0.3676 0.6324 0.0000 0.3162
9 01-25 453 08-123 0.3210 0.6790 0.0000 0.3395
9 01-25 499 08-701 0.5966 0.4034 0.0000 0.2017
9 01-25 550 20-05 0.3210 0.6790 0.0000 0.3395
9 01-25 840 08-25 0.3487 0.6513 0.0000 0.3257
9 01-25 862 08-495 0.4989 0.5011 0.0000 0.2506
9 01-25 1094 08-86 0.4645 0.5355 0.0000 0.2678
10 01-26 274 07-04d 0.3455 0.6545 0.0000 0.3273
