iid1	iid2	k0	k1	k2	relateadmix_pihat_equiv	relateadmix_kin_equiv
ALSU_0178	ALSU_0242	0	0.184916	0.815084	0.907542	0.453771
ALSU_0402	ALSU_1039	0.000337	0.394319	0.605344	0.8025035	0.40125175
GWAS2026_0016	GWAS2026_0094	4e-06	0.437478	0.562518	0.781257	0.3906285
ALSU_0001	ALSU_0011	0.237051	0.236034	0.526915	0.644932	0.322466
GWAS2026_0085	GWAS2026_0086	0.162965	0.517783	0.319252	0.5781435	0.28907175
ALSU_0041	ALSU_0371	0.223816	0.470518	0.305666	0.540925	0.2704625
ALSU_0487	ALSU_0499	0.00438	0.927995	0.067625	0.5316225	0.26581125
GWAS2026_0066	GWAS2026_0093	0.212766	0.530688	0.256546	0.52189	0.260945
GWAS2026_0026	GWAS2026_0037	0.240351	0.484942	0.274707	0.517178	0.258589
GWAS2026_0020	GWAS2026_0092	0.000819	0.999181	0	0.4995905	0.24979525
GWAS2026_0089	GWAS2026_0091	0.00119	0.99881	0	0.499405	0.2497025
GWAS2026_0043	GWAS2026_0088	0.001489	0.99851	0	0.499255	0.2496275
GWAS2026_0046	GWAS2026_0087	0.002141	0.997859	0	0.4989295	0.24946475
GWAS2026_0010	GWAS2026_0059	0.003341	0.996659	0	0.4983295	0.24916475
GWAS2026_0023	GWAS2026_0080	0.003775	0.996225	0	0.4981125	0.24905625
ALSU_0448	ALSU_0808	0.505546	3e-06	0.494451	0.4944525	0.24722625
ALSU_1007	ALSU_1030	0.125531	0.762729	0.11174	0.4931045	0.24655225
ALSU_0218	ALSU_0242	0.068434	0.931555	1.1e-05	0.4657885	0.23289425
GWAS2026_0004	GWAS2026_0047	0.303365	0.474553	0.222082	0.4593585	0.22967925
ALSU_0470	ALSU_0500	0.336852	0.423547	0.239602	0.4513755	0.22568775
ALSU_0789	ALSU_0841	0.315949	0.538052	0.146	0.415026	0.207513
GWAS2026_0022	GWAS2026_0057	0.507208	0.491258	0.001534	0.247163	0.1235815
GWAS2026_0037	GWAS2026_0087	0.533807	0.459046	0.007147	0.23667	0.118335
ALSU_0400	ALSU_0714	0.530558	0.469351	9.1e-05	0.2347665	0.11738325
GWAS2026_0026	GWAS2026_0087	0.547716	0.448435	0.003849	0.2280665	0.11403325
GWAS2026_0055	GWAS2026_0072	0.554086	0.445913	1e-06	0.2229575	0.11147875
GWAS2026_0031	GWAS2026_0068	0.572695	0.427151	0.000154	0.2137295	0.10686475
ALSU_0070	ALSU_0371	0.661108	0.338812	8e-05	0.169486	0.084743
